model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
DD2_M120120_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.2,1.2,1.29692,1.29692,0.13477,0.13477,1612.24802950828,0.000755344,0.135433815231,0.150490086402,31.4383627337737,,https://arxiv.org/abs/1809.11161
DD2_M125125_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.25,1.25,1.35299,1.35299,0.14018,0.14018,1295.29991380455,0.000382383,0.149095565986,0.176457572296,33.1849815562591,,https://arxiv.org/abs/1809.11161
DD2_M1251365_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1.092,1.365,1.25,1.49103,1.35241,0.15266,0.14018,1016.97535763328,0.000382209,0.202034424404,0.150393460087,25.7723532276638,,https://arxiv.org/abs/1809.11161
DD2_M130130_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.3,1.3,1.41572,1.41572,0.14561,0.14561,1045.67396125715,0.00120958,0.178713598481,0.127007038172,21.0686789746856,,https://arxiv.org/abs/1809.11161
DD2_M135135_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.35,1.35,1.47277,1.47277,0.15103,0.15103,848.044957999892,0.000293877,0.180606491386,0.182207846677,31.8237799843073,0.1569,https://arxiv.org/abs/1809.11161
DD2_M140120_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1.16666666666667,1.4,1.2,1.53253,1.29693,0.15646,0.13477,1057.59523096822,0.000889373,0.178656091942,0.121703207033,23.2862462135387,0.1926,https://arxiv.org/abs/1809.11161
DD2_M140140_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.4,1.4,1.53254,1.53254,0.15646,0.15646,690.630096309075,0.00041999,0.223043086864,0.170901852867,28.8663329098082,0.1236,https://arxiv.org/abs/1809.11161
DD2_M144139_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1.03597122302158,1.44,1.39,1.58001,1.52026,0.16083,0.15538,650.209372648612,0.000531682,0.197831552819,0.170668056164,28.0666160783591,0.144,https://arxiv.org/abs/1809.11161
DD2_M150150_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.5,1.5,1.6565,1.6565,0.16739,0.16739,462.552233111546,0.000690053,0.167387468145,0.197331003488,32.4322751639029,0.167,https://arxiv.org/abs/1809.11161
DD2_M160160_LK,Radice:2018pdn(LK),LeakSet,DD2,leak,1,1.6,1.6,1.77792,1.77792,0.17841,0.17841,313.053198761784,0.00123068,0.236486818059,0.141130844832,20.3241746620129,0.0196,https://arxiv.org/abs/1809.11161
LS220_M120120_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.2,1.2,1.29564,1.29564,0.13872,0.13872,1439.01909740288,0.00140069,0.146553098364,0.116899163673,25.1524489810708,0.1743,https://arxiv.org/abs/1809.11161
LS220_M1251365_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1.092,1.365,1.25,1.49118,1.3547,0.15871,0.14467,848.433748838148,0.00110871,0.160045944821,0.102591572716,23.2618890987463,,https://arxiv.org/abs/1809.11161
LS220_M135135_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.35,1.35,1.47334,1.47334,0.15686,0.15686,683.764650054587,0.000591045,0.157891449754,0.11379542362,23.8240590486626,0.0725,https://arxiv.org/abs/1809.11161
LS220_M140120_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1.16666666666667,1.4,1.2,1.53451,1.29564,0.16308,0.13872,893.436162642197,0.00186003,0.151374531582,0.0873875323243,20.3184916244619,0.2282,https://arxiv.org/abs/1809.11161
LS220_M140140_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.4,1.4,1.53452,1.53452,0.16308,0.16308,536.067089144578,0.00143295,0.167636506813,0.14415318099,29.1361809412344,0.0458,https://arxiv.org/abs/1809.11161
LS220_M144139_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1.03597122302158,1.44,1.39,1.58149,1.52047,0.16811,0.16182,499.261044023471,0.00190409,0.15717414715,0.143187270514,30.3314108529918,0.0391,https://arxiv.org/abs/1809.11161
LS220_M145145_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.45,1.45,1.59559,1.59559,0.1694,0.1694,420.747694430098,0.00164991,0.2078465342,0.142746206615,22.2015796769022,0.0205,https://arxiv.org/abs/1809.11161
LS220_M150150_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.5,1.5,1.65889,1.65889,0.17586,0.17586,330.155394892613,0.000334724,0.188772750697,0.084331649055,12.7142473061779,0.0016,https://arxiv.org/abs/1809.11161
LS220_M160160_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.6,1.6,1.79049,1.79049,0.18926,0.18926,202.340141807509,0.000319188,0.205685051577,0.0744507057694,7.60724912153289,0.0007,https://arxiv.org/abs/1809.11161
LS220_M171171_LK,Radice:2018pdn(LK),LeakSet,LS220,leak,1,1.71,1.71,1.92768,1.92768,0.205,0.205,116.005875248749,0.000285926,0.218552514584,0.0844040050591,7.52451130410737,0.0006,https://arxiv.org/abs/1809.11161
SFHo_M1251365_LK,Radice:2018pdn(LK),LeakSet,SFHo,leak,1.092,1.365,1.25,1.50363,1.36409,0.16944,0.15459,512.595912539856,0.0014573,0.228587358059,0.138680089635,24.0916439775502,,https://arxiv.org/abs/1809.11161
